nt,nf,train_acc,acc,time
1,2,0.9391771019677997,0.9142857142857143,0.7481588129994634
1,4,0.3810375670840787,0.3357142857142857,2.633968356999503
1,7,0.9373881932021467,0.9428571428571428,8.02405046000058
1,9,0.8318425760286225,0.8642857142857143,11.571428391000154
1,runif,0.9141323792486583,0.9285714285714286,7.378326177000417
10,2,0.9552772808586762,0.9642857142857143,5.029525508000006
10,4,0.9713774597495528,0.9642857142857143,26.306692522999583
10,7,0.9105545617173524,0.9071428571428571,74.66127799400056
10,9,0.8336314847942755,0.8714285714285714,114.70933455900013
10,runif,0.9588550983899821,0.9285714285714286,38.458000135000475
25,2,0.960644007155635,0.9714285714285714,12.93798204199993
25,4,0.9695885509838998,0.9571428571428572,64.2767662160004
25,7,0.9713774597495528,0.9714285714285714,188.8520115880001
25,9,0.8372093023255814,0.8571428571428571,294.2429588489995
25,runif,0.9767441860465116,0.9785714285714285,107.01246168599937
50,2,0.9713774597495528,0.9714285714285714,24.799631031999525
50,4,0.9767441860465116,0.9714285714285714,128.58012090899865
50,7,0.9767441860465116,0.9714285714285714,378.8433387669993
50,9,0.853309481216458,0.8785714285714286,564.4707090669999
50,runif,0.9785330948121646,0.9642857142857143,253.57387466299951
75,2,0.9677996422182469,0.9785714285714285,36.74703751800007
75,4,0.9803220035778175,0.9714285714285714,191.9277044290011
75,7,0.9677996422182469,0.9714285714285714,556.5827286959993
75,9,0.8604651162790697,0.8714285714285714,925.0121252529989
75,runif,0.9767441860465116,0.9714285714285714,363.39342484400004
100,2,0.9660107334525939,0.9714285714285714,51.4218181870001
100,4,0.9803220035778175,0.9714285714285714,269.4741815649995
100,7,0.9713774597495528,0.9714285714285714,742.8997891409999
100,9,0.8604651162790697,0.8928571428571429,1146.7262277590016
100,runif,0.9767441860465116,0.9642857142857143,417.43635206600084
